citing_paper_id,cited_paper_id,citing_title,cited_title,citing_year,cited_year,resolution_method
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,Efficient strontium-induced activation of mouse oocytes in standard culture media by chelating calcium.,2010,2007,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,A consensus epitope prediction approach identifies the breadth of murine T(CD8+)-cell responses to vaccinia virus.,2010,2006,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,The effect of anti-IFN-gamma antibody on the protective effect of Lyt-2+ immune T cells against toxoplasmosis in mice.,2010,1990,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,Significant improvement of mouse cloning technique by treatment with trichostatin A after somatic nuclear transfer.,2010,2005,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,Generation of cloned mice by direct nuclear transfer from natural killer T cells.,2010,2005,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,The CD8 T-cell response against murine gammaherpesvirus 68 is directed toward a broad repertoire of epitopes from both e,2010,2008,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,Mouse cloning with nucleus donor cells of different age and type.,2010,2001,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,Positive and negative selection of an antigen receptor on T cells in transgenic mice.,2010,1988,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,Defective TCR expression in transgenic mice constructed using cDNA-based alpha- and beta-chain genes under the control o,2010,1998,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,Positive and negative selection in transgenic mice expressing a T-cell receptor specific for influenza nucleoprotein and,2010,1993,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,Tolerance induction in double specific T-cell receptor transgenic mice varies with antigen.,2010,1989,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,"Immunodominant, protective response to the parasite Toxoplasma gondii requires antigen processing in the endoplasmic ret",2010,2008,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,"Hybrid vigor, fetal overgrowth, and viability of mice derived by nuclear cloning and tetraploid embryo complementation.",2010,2001,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,Monoclonal mice generated by nuclear transfer from mature B and T donor cells.,2010,2002,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,Recombinant vaccinia virus-induced T-cell immunity: quantitation of the response to the virus vector and the foreign epi,2010,2002,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,Direct in vivo VH to JH rearrangement violating the 12/23 rule.,2010,2005,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,CD8 T cell responses to infectious pathogens.,2010,2001,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,Immunoprecipitation of cell surface structures of cloned cytotoxic T lymphocytes by clone-specific antisera.,2010,1984,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,A model T-cell receptor system for studying memory T-cell development.,2010,2003,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,Cassette vectors directing expression of T cell receptor genes in transgenic mice.,2010,1995,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,Early TCR expression and aberrant T cell development in mice with endogenous prerearranged T cell receptor genes.,2010,2007,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,Caveats in the design of MHC class I tetramer/antigen-specific T lymphocytes dissociation assays.,2010,2003,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,Immunity and immunological memory following smallpox vaccination.,2010,2006,unresolved
10.1126_science.1193975,,Morphological affinities of the earliest modern humans,Advances in the use of genetically engineered parasites to study immunity to Toxoplasma gondii.,2010,2008,unresolved
10.1038_nature12886,pmid_20028723,The complete genome sequence of a Neanderthal from the Altai Mountains,Removal of deaminated cytosines and detection of in vivo methylation in ancient DNA.,2014,2009,exact_pmid
10.1038_nature12886,,The complete genome sequence of a Neanderthal from the Altai Mountains,"An integrated map of genetic variation from 1,092 human genomes.",2014,2012,unresolved
10.1038_nature12886,,The complete genome sequence of a Neanderthal from the Altai Mountains,Direct measure of the de novo mutation rate in autism and schizophrenia cohorts.,2014,2010,unresolved
10.1038_nature12886,pmid_22936568,The complete genome sequence of a Neanderthal from the Altai Mountains,A high-coverage genome sequence from an archaic Denisovan individual.,2014,2012,exact_pmid
10.1038_nature12886,,The complete genome sequence of a Neanderthal from the Altai Mountains,VCAM1 is essential to maintain the structure of the SVZ niche and acts as an environmental sensor to regulate SVZ lineag,2014,2012,unresolved
10.1038_nature12886,pmid_22042846,The complete genome sequence of a Neanderthal from the Altai Mountains,Archaic human ancestry in East Asia.,2014,2011,exact_pmid
10.1038_nature12886,,The complete genome sequence of a Neanderthal from the Altai Mountains,Haplotype-resolved genome sequencing of a Gujarati Indian individual.,2014,2010,unresolved
10.1038_nature12886,pmid_21179161,The complete genome sequence of a Neanderthal from the Altai Mountains,Genetic history of an archaic hominin group from Denisova Cave in Siberia.,2014,2010,exact_pmid
10.1038_nature12886,,The complete genome sequence of a Neanderthal from the Altai Mountains,ABCtoolbox: a versatile toolkit for approximate Bayesian computations.,2014,2010,unresolved
10.1038_nature12886,,The complete genome sequence of a Neanderthal from the Altai Mountains,Rate of de novo mutations and the importance of father's age to disease risk.,2014,2012,unresolved
10.1038_nature12886,pmid_23410836,The complete genome sequence of a Neanderthal from the Altai Mountains,Higher levels of neanderthal ancestry in East Asians than in Europeans.,2014,2013,exact_pmid
10.1038_nature12886,pmid_20448178,The complete genome sequence of a Neanderthal from the Altai Mountains,A draft sequence of the Neandertal genome.,2014,2010,exact_pmid
10.1038_nature12886,,The complete genome sequence of a Neanderthal from the Altai Mountains,"A database and API for variation, dense genotyping and resequencing data.",2014,2010,unresolved
10.1038_nature12886,pmid_22965354,The complete genome sequence of a Neanderthal from the Altai Mountains,Revising the human mutation rate: implications for understanding human evolution.,2014,2012,exact_pmid
10.1038_nature12886,pmid_19805257,The complete genome sequence of a Neanderthal from the Altai Mountains,Out of Africa: modern human origins special feature: the origin of Neandertals.,2014,2009,exact_pmid
10.1038_nature12886,,The complete genome sequence of a Neanderthal from the Altai Mountains,Improved base calling for the Illumina Genome Analyzer using machine learning strategies.,2014,2009,unresolved
10.1038_nature12886,,The complete genome sequence of a Neanderthal from the Altai Mountains,A map of human genome variation from population-scale sequencing.,2014,2010,unresolved
10.1038_nature12886,pmid_21868630,The complete genome sequence of a Neanderthal from the Altai Mountains,The shaping of modern human immune systems by multiregional admixture with archaic humans.,2014,2011,exact_pmid
10.1038_nature12886,pmid_11726688,The complete genome sequence of a Neanderthal from the Altai Mountains,DNA sequences from multiple amplifications reveal artifacts induced by cytosine deamination in ancient DNA.,2014,2001,exact_pmid
10.1038_nature12886,pmid_23055938,The complete genome sequence of a Neanderthal from the Altai Mountains,The date of interbreeding between Neandertals and modern humans.,2014,2012,exact_pmid
10.1038_nature12886,pmid_22513287,The complete genome sequence of a Neanderthal from the Altai Mountains,Ancient structure in Africa unlikely to explain Neanderthal and non-African genetic similarity.,2014,2012,exact_pmid
10.1038_nature12886,pmid_18692465,The complete genome sequence of a Neanderthal from the Altai Mountains,A complete Neandertal mitochondrial genome sequence determined by high-throughput sequencing.,2014,2008,exact_pmid
10.1038_nature12886,,The complete genome sequence of a Neanderthal from the Altai Mountains,"ESR dating at Mezmaiskaya Cave, Russia.",2014,2005,unresolved
